section_id,message_ar,message_en
8,"يا فراقًا صار كالسيف في قلبي، كيف أجد السلام وعيناي تبحث عنك في الظلام؟","O separation that became a sword in my heart, how can I find peace while my eyes search for you in the dark?"
8,"كل خطوة بعيدًا عنك كأنها سفر بلا نهاية، وأنا أسير في دربٍ من الأشواق.","Every step away from you feels like an endless journey, as I walk a path of longing."
8,"يا من كنتِ لي وطنًا، كيف أعيش بلا وطنٍ يحضن روحي؟","You who were my homeland, how can I live without a home that embraces my soul?"
8,"الفراق علمني أن الحنين ليس مجرد شعور، بل هو حياةٌ بأكملها.","Separation taught me that longing is not just a feeling, but an entire life."
8,"أصبحت الريح تحمل همساتي إليك، لعلك تسمعين ما يعجز لساني عن قوله.","The wind now carries my whispers to you, perhaps you will hear what my tongue fails to say."
8,"يا من أخذتِ معك دفء أيامي، كيف أجد النور في ليالي الفراق الباردة؟","You who took the warmth of my days with you, how can I find light in the cold nights of separation?"
8,"الفراق ليس غيابًا فقط، بل هو حضورٌ دائم للألم في كل تفاصيل حياتي.","Separation is not just an absence, but a constant presence of pain in every detail of my life."
8,"أصبحت الذكريات مرآةً أراكِ فيها، لكنني أعجز عن لمسكِ.","Memories have become a mirror in which I see you, but I cannot touch you."
8,"يا من كنتِ لي كل شيء، كيف أعيش بلا شيء؟","You who were my everything, how can I live with nothing?"
8,الفراق علمني أن القرب كان نعمةً لم أعرف قيمتها إلا بعد الرحيل.,Separation taught me that closeness was a blessing I only realized after departure.
8,"أصبحت النجوم شهودًا على حزني، لكنها لا تعيد لي ضياعك.","The stars have become witnesses to my sorrow, but they do not bring you back to me."
8,"يا من كنتِ لي حلمًا، كيف أعيش بلا حلمٍ يملأ ليالي؟","You who were my dream, how can I live without a dream that fills my nights?"
8,"الفراق ليس مجرد فراغ، بل هو امتلاءٌ بالألم والأسى.","Separation is not just emptiness, but a fullness of pain and sorrow."
8,"أصبحت الأيام ثقيلةً كالجبال، وليالي الفراق لا تنتهي.","The days have become heavy as mountains, and the nights of separation never end."
8,"يا من كنتِ لي سكنًا، كيف أجد الراحة بلا سكنٍ يحضن قلبي؟","You who were my refuge, how can I find comfort without a refuge to embrace my heart?"
8,"الفراق علمني أن الحب ليس مجرد كلمات، بل هو جراحٌ لا تندمل.","Separation taught me that love is not just words, but wounds that do not heal."
8,"أصبحت الذكريات سجني، وأنا أسيرٌ في زنزانة الفراق.","Memories have become my prison, and I am a prisoner in the cell of separation."
8,"يا من كنتِ لي نورًا، كيف أعيش بلا نورٍ يضيء دربي؟","You who were my light, how can I live without a light to illuminate my path?"
8,"الفراق ليس مجرد غياب، بل هو حضورٌ دائم للألم في كل نبضة قلب.","Separation is not just absence, but a constant presence of pain in every heartbeat."
8,"أصبحت الليالي طويلةً كالأبد، وقلبي يصرخ من وحشة الفراق.","The nights have become as long as eternity, and my heart screams from the loneliness of separation."
8,"يا من كنتِ لي كل الأمان، كيف أعيش بلا أمانٍ يحيطني؟","You who were my safety, how can I live without safety surrounding me?"
8,"الفراق علمني أن السعادة كانت بين يدَيَّ، لكنني لم أعرف قيمتها.","Separation taught me that happiness was in my hands, but I did not know its value."
8,أصبحت الذكريات سيفًا يقطع قلبي كلما تذكرتك.,Memories have become a sword that cuts my heart whenever I remember you.
8,"يا من كنتِ لي كل الحنين، كيف أعيش بلا حنينٍ يملأ روحي؟","You who were all my longing, how can I live without longing filling my soul?"
8,"الفراق ليس مجرد فراق، بل هو موتٌ بطيء في كل لحظة.","Separation is not just separation, but a slow death in every moment."
8,"أصبحت الأيام سوداءَ كالليل، وقلبي يبحث عن بصيص أمل.","The days have become as black as night, and my heart searches for a glimmer of hope."
8,"يا من كنتِ لي كل الحياة، كيف أعيش بلا حياةٍ تشبهك؟","You who were my whole life, how can I live without a life that resembles you?"
8,"الفراق علمني أن الحب كان أقوى مني، لكن الفراق كان أقوى من الحب.","Separation taught me that love was stronger than me, but separation was stronger than love."
8,أصبحت الذكريات نارًا تحرق قلبي كلما تذكرتك.,Memories have become a fire that burns my heart whenever I remember you.
8,"يا من كنتِ لي كل الأمل، كيف أعيش بلا أملٍ يضيء طريقي؟","You who were all my hope, how can I live without hope to light my way?"
8,"يا فراقًا صار كالسيف في قلبي، كيف أجد السلام وعيناي تبحث عنك في الظلام؟","O separation that became a sword in my heart, how can I find peace while my eyes search for you in the dark?"
8,"كل خطوة بعيدًا عنك كأنها سفر بلا نهاية، وأنا أسير في دربٍ من الأشواق.","Every step away from you feels like an endless journey, as I walk a path of longing."
8,"يا من كنتِ لي وطنًا، كيف أعيش بلا وطنٍ يحضن روحي؟","You who were my homeland, how can I live without a home that embraces my soul?"
8,"الفراق علمني أن الحنين ليس مجرد شعور، بل هو حياةٌ بأكملها.","Separation taught me that longing is not just a feeling, but an entire life."
8,"أصبحت الريح تحمل همساتي إليك، لعلك تسمعين ما يعجز لساني عن قوله.","The wind now carries my whispers to you, perhaps you will hear what my tongue fails to say."
8,"يا من أخذتِ معك دفء أيامي، كيف أجد النور في ليالي الفراق الباردة؟","You who took the warmth of my days with you, how can I find light in the cold nights of separation?"
8,"الفراق ليس غيابًا فقط، بل هو حضورٌ دائم للألم في كل تفاصيل حياتي.","Separation is not just an absence, but a constant presence of pain in every detail of my life."
8,"أصبحت الذكريات مرآةً أراكِ فيها، لكنني أعجز عن لمسكِ.","Memories have become a mirror in which I see you, but I cannot touch you."
8,"يا من كنتِ لي كل شيء، كيف أعيش بلا شيء؟","You who were my everything, how can I live with nothing?"
8,الفراق علمني أن القرب كان نعمةً لم أعرف قيمتها إلا بعد الرحيل.,Separation taught me that closeness was a blessing I only realized after departure.
8,"أصبحت النجوم شهودًا على حزني، لكنها لا تعيد لي ضياعك.","The stars have become witnesses to my sorrow, but they do not bring you back to me."
8,"يا من كنتِ لي حلمًا، كيف أعيش بلا حلمٍ يملأ ليالي؟","You who were my dream, how can I live without a dream that fills my nights?"
8,"الفراق ليس مجرد فراغ، بل هو امتلاءٌ بالألم والأسى.","Separation is not just emptiness, but a fullness of pain and sorrow."
8,"أصبحت الأيام ثقيلةً كالجبال، وليالي الفراق لا تنتهي.","The days have become heavy as mountains, and the nights of separation never end."
8,"يا من كنتِ لي سكنًا، كيف أجد الراحة بلا سكنٍ يحضن قلبي؟","You who were my refuge, how can I find comfort without a refuge to embrace my heart?"
8,"الفراق علمني أن الحب ليس مجرد كلمات، بل هو جراحٌ لا تندمل.","Separation taught me that love is not just words, but wounds that do not heal."
8,"أصبحت الذكريات سجني، وأنا أسيرٌ في زنزانة الفراق.","Memories have become my prison, and I am a prisoner in the cell of separation."
8,"يا من كنتِ لي نورًا، كيف أعيش بلا نورٍ يضيء دربي؟","You who were my light, how can I live without a light to illuminate my path?"
8,"الفراق ليس مجرد غياب، بل هو حضورٌ دائم للألم في كل نبضة قلب.","Separation is not just absence, but a constant presence of pain in every heartbeat."
8,"أصبحت الليالي طويلةً كالأبد، وقلبي يصرخ من وحشة الفراق.","The nights have become as long as eternity, and my heart screams from the loneliness of separation."
8,"يا من كنتِ لي كل الأمان، كيف أعيش بلا أمانٍ يحيطني؟","You who were my safety, how can I live without safety surrounding me?"
8,"الفراق علمني أن السعادة كانت بين يدَيَّ، لكنني لم أعرف قيمتها.","Separation taught me that happiness was in my hands, but I did not know its value."
8,أصبحت الذكريات سيفًا يقطع قلبي كلما تذكرتك.,Memories have become a sword that cuts my heart whenever I remember you.
8,"يا من كنتِ لي كل الحنين، كيف أعيش بلا حنينٍ يملأ روحي؟","You who were all my longing, how can I live without longing filling my soul?"
8,"الفراق ليس مجرد فراق، بل هو موتٌ بطيء في كل لحظة.","Separation is not just separation, but a slow death in every moment."
8,"أصبحت الأيام سوداءَ كالليل، وقلبي يبحث عن بصيص أمل.","The days have become as black as night, and my heart searches for a glimmer of hope."
8,"يا من كنتِ لي كل الحياة، كيف أعيش بلا حياةٍ تشبهك؟","You who were my whole life, how can I live without a life that resembles you?"
8,"الفراق علمني أن الحب كان أقوى مني، لكن الفراق كان أقوى من الحب.","Separation taught me that love was stronger than me, but separation was stronger than love."
8,أصبحت الذكريات نارًا تحرق قلبي كلما تذكرتك.,Memories have become a fire that burns my heart whenever I remember you.
8,"يا من كنتِ لي كل الأمل، كيف أعيش بلا أملٍ يضيء طريقي؟","You who were all my hope, how can I live without hope to light my way?"
8,"يا فراقًا صار كالسيف في قلبي، كيف أجد السلام وعيناي تبحث عنك في الظلام؟","O separation that became a sword in my heart, how can I find peace while my eyes search for you in the dark?"
