section_id,message_ar,message_en
14,يولد الطفل حاملاً معه نورًا يزرع السكينة في البيت فتتجدد الأحلام وتكبر الأمنيات بقدر الحنان الذي يحمله فنسأل الله أن يجعل أيامه نورًا وبركة وسلامًا دائمًا.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,قدوم المولود يفتح أبوابًا جديدة للفرح في القلوب وتمتلئ الأرواح بطمأنينة لا يعرفها إلا الآباء نسأل الله أن يجعل بدايته خيرًا ونهاياته أجمل.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,حضور الصغير يجعل الأيام أكثر دفئًا وامتلاء بالحب وتنمو معه رغبة عميقة في صناعة مستقبل أجمل داعين الله أن يجعله قرة عين لوالديه ويحفظه دائمًا.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,ابتسامة المولود الأولى تمنح الحياة طعمًا أرقى وأجمل ويعم البيت شعور غير قابل للوصف مهما حاولنا سائلين الله أن يكتب له السعادة في كل خطوة يخطوها.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,كل مولود يأتي ومعه بداية ناعمة تشبه الفجر الجديد وتعود البسمة إلى الوجوه كأنها لم تفارقها يومًا اللهم بارك في عمره وازرع له دروبًا من السعادة.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,عطر الأيام يزداد نقاءً حين يصل طفل صغير للحياة فيضيع التعب كله حين تستقر ملامحه في الذاكرة راجين له حياة مزهرة بالخير والرحمة والسكينة.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,تهب السكينة على البيوت عندما يولد طفل يشبه السلام وتولد معه أمنيات جديدة لا تنتهي بسهولة راجين من الله أن يملأ قلبه نقاءً ورضًا وهناءً دائمًا.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,يزهر البيت أكثر حين يضيف القدر طفلًا لحديقة العائلة ويصبح العالم أوسع مما كان حين يفتح عينيه لأول مرة متمنين له مستقبلًا تحيطه العافية وتزينه البركات.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,مولود جديد يعني فصلاً آخر من الرحمة والدفء وتتسابق القلوب للاحتفاء به وكأنه معجزة صغيرة اللهم اجعله بابًا للفرح لا يُغلق أبدًا في بيتكم.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
14,ميلاد طفل يوقظ في القلوب موسيقى لا يسمعها إلا المحبون وتتفتح الأماني كزهورٍ تنتظر نسمة رقيقة متمنين له عمرًا خصبًا مليئًا بالحب والطمأنينة.,"May this newborn bring warmth, serenity, and endless blessings to your home, filling each day with gentle hope, love, and the sweetest beginnings."
