section_id,message_ar,message_en
6,"كنت أظنك الشخص الذي لا يخلف وعدًا، لكني اكتشفت أنك لم تكن سوى شخص يجيد الحديث، أما الأفعال فلم أجد منها شيئًا.","I thought you were someone who never broke a promise, but I realized you were just good with words, while actions were nowhere to be found."
6,"لا تعتذر، فبعض الجروح لا تداويها الكلمات، وبعض الخيبات لا يصلحها أي تبرير.","Don’t apologize, for some wounds can't be healed by words, and some disappointments can never be justified."
6,"كنت أعطيك كل ما أملك، بينما كنت تمنحني فقط ما زاد عن حاجتك... لم أكن يومًا أولويتك، والآن لم تعد أولويتي.","I gave you everything I had, while you only gave me what was left over... I was never your priority, and now you're no longer mine."
6,"لم يؤلمني أنك رحلت، بل أوجعني أنك لم تلتفت أبدًا لترى كيف كان وقوفي خلفك مرهقًا.","It didn't hurt that you left, but it broke me that you never even turned around to see how exhausting it was for me to stand behind you."
6,"بعض الخيبات لا تأتي من الغرباء، بل ممن ظننتهم أقرب إليك من نفسك.","Some betrayals don’t come from strangers, but from those you believed were closer to you than yourself."
6,"كنتُ أغفر زلاتك لأنني أحببتك، أما اليوم فأنا لا أرى سوى شخص غريب كان يشبهك يومًا ما.","I used to forgive your mistakes because I loved you, but today, all I see is a stranger who once resembled you."
6,"أشد أنواع العتاب هو الصمت، فأنا لم أعد أملك الكلمات لشرح خذلانك المتكرر.","The most painful form of reproach is silence, for I no longer have the words to explain your repeated betrayal."
6,"لم أتغير، أنا فقط توقفت عن ملاحقة من لا يقدّر وجودي.",I haven't changed; I just stopped chasing those who don’t appreciate my presence.
6,"ما يؤلم حقًا ليس الفراق، بل أن تكون مجبرًا على نسيان شخص لم تتخيل يومًا العيش بدونه.","What truly hurts is not separation, but being forced to forget someone you never imagined living without."
6,"كنتُ أرى فيك عالمي، لكنك كنت تراني محطة انتظار فقط.","I saw my world in you, but you only saw me as a waiting station."
6,"هل تعلم ما هو العذاب؟ أن تعطي قلبك لمن لا يعرف قيمته، ثم يقسو عليك وكأنك لم تكن شيئًا يومًا.","Do you know what true agony is? It's giving your heart to someone who doesn’t know its worth, only for them to treat you as if you never mattered."
6,"لم أندم على حبي لك، لكني ندمت على كل مرة سامحت فيها أخطاءك التي لم تكن سوى بداية لخيبات أكبر.","I don’t regret loving you, but I do regret every time I forgave your mistakes, which were only the beginning of greater disappointments."
6,"بعض الأشخاص يدخلون حياتك كنعمة، والبعض الآخر كدرس قاسٍ لن تنساه أبدًا.","Some people enter your life as a blessing, while others come as a harsh lesson you'll never forget."
6,"ليس الألم في رحيلك، بل في كذبك المستمر بأنك لن ترحل أبدًا.","The pain isn’t in your departure, but in your constant lies that you would never leave."
6,"كنت أظن أن الحب يجعل الإنسان أقوى، لكنك أثبت لي أنه قد يكون أكبر نقاط ضعفه.","I thought love made people stronger, but you proved to me that it can be their greatest weakness."
6,"لا تحاول العودة بعد أن جرحتني، فبعض الكسور لا تُصلحها الاعتذارات.",Don’t try to come back after hurting me; some wounds can’t be healed with apologies.
6,"أوجعني أنك لم تحارب لأجلي ولو مرة، بينما كنت أنا أواجه الدنيا لأجلك.","It broke me that you never fought for me even once, while I was facing the world for you."
6,"كيف تجرؤ على السؤال إن كنت بخير، وأنت تعلم أنك السبب في كل هذا الألم؟",How dare you ask if I'm okay when you know you're the reason for all this pain?
6,"لم يكن قلبي ساذجًا، لكنه أحب بصدق في زمنٍ لا يقدّر فيه أحد الصدق.","My heart wasn’t naive, it simply loved sincerely in a time where sincerity is no longer valued."
