section_id,message_ar,message_en
17,يأتي يوم الجمعة كنافذة نور تُفتح للروح لتتنفس الرحمة والسكينة بعد أسبوع منهك فتكبر الأمنيات وتلين القلوب وتنفتح أبواب الدعاء فجمعة مباركة عليك وعلى من تحب.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في صباح الجمعة تشعر أن الحياة تعود لنسختها الهادئة التي تليق بالقلب ويُصبح الرجاء صديقًا قريبًا لكُل ما تتمنى اللهم اجعل جمعتكم نورًا وفرحًا.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,الجمعة ليست يومًا عابرًا؛ بل مساحة أمان تتسع فيها الدعوات وتغدو الخطوات أرسخ حين تُرافقها بركة الجمعة جعلكم الله في هذه الجمعة أقرب إليه مما كنتم.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في الجمعة ينتعش القلب وكأن الدنيا تُهديه استراحة محبة من السماء ويولد شعور جديد بأن القادم أجمل بإذن الله نسأل الله أن يكتب لكم نورًا وبركات لا تنقطع.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,يوم الجمعة يحمل في تفاصيله معنى التجدد والطمأنينة العميقة وتصبح الكلمات ألطف، والنفس أهدأ، والعمر أبسط أسأل الله أن يجعلها جمعة خير وبركة وسلام.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في أجواء الجمعة يتبدل الثقل خفة، ويصبح الحزن أكثر قابلية للعبور ويكتشف الإنسان أن السكينة هدية لا تُشترى بارك الله جمعتكم ورزقكم خيرها.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,الجمعة لحظة روحية يتطهر فيها القلب من ضجيج الأيام ويجد القلب طريقه نحو الطمأنينة دون عناء جعلكم الله من أهل السكينة والدعاء المستجاب.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,تأتي الجمعة كهدية تُذكّرنا بأن الله قريب وأن الفرج أقرب وتشعر أن الرحمة تتنزل على الأرواح كندى الفجر نسأل الله أن يكتب لكم فيها من كل ضيق فرجًا.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في الجمعة يتنفس الإنسان رضا عميقًا لا يشبه أي يوم آخر وتتسع القلوب لمسامحة ما كان والبدء بما سيكون نسأل الله أن يجعلها جمعة تتبدل فيها الأحوال للأفضل.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,الجمعة باب واسع يُشرّع للنور كي يدخل القلوب بلا استئذان وتتحول اللحظات الصغيرة إلى أسباب للامتنان أسأل الله أن يمتلئ يومكم بالطمأنينة.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,يأتي يوم الجمعة كنافذة نور تُفتح للروح لتتنفس الرحمة والسكينة بعد أسبوع منهك فتكبر الأمنيات وتلين القلوب وتنفتح أبواب الدعاء فجمعة مباركة عليك وعلى من تحب.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في صباح الجمعة تشعر أن الحياة تعود لنسختها الهادئة التي تليق بالقلب ويُصبح الرجاء صديقًا قريبًا لكُل ما تتمنى اللهم اجعل جمعتكم نورًا وفرحًا.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,الجمعة ليست يومًا عابرًا؛ بل مساحة أمان تتسع فيها الدعوات وتغدو الخطوات أرسخ حين تُرافقها بركة الجمعة جعلكم الله في هذه الجمعة أقرب إليه مما كنتم.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في الجمعة ينتعش القلب وكأن الدنيا تُهديه استراحة محبة من السماء ويولد شعور جديد بأن القادم أجمل بإذن الله نسأل الله أن يكتب لكم نورًا وبركات لا تنقطع.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,يوم الجمعة يحمل في تفاصيله معنى التجدد والطمأنينة العميقة وتصبح الكلمات ألطف، والنفس أهدأ، والعمر أبسط أسأل الله أن يجعلها جمعة خير وبركة وسلام.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في أجواء الجمعة يتبدل الثقل خفة، ويصبح الحزن أكثر قابلية للعبور ويكتشف الإنسان أن السكينة هدية لا تُشترى بارك الله جمعتكم ورزقكم خيرها.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,الجمعة لحظة روحية يتطهر فيها القلب من ضجيج الأيام ويجد القلب طريقه نحو الطمأنينة دون عناء جعلكم الله من أهل السكينة والدعاء المستجاب.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,تأتي الجمعة كهدية تُذكّرنا بأن الله قريب وأن الفرج أقرب وتشعر أن الرحمة تتنزل على الأرواح كندى الفجر نسأل الله أن يكتب لكم فيها من كل ضيق فرجًا.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
17,في الجمعة يتنفس الإنسان رضا عميقًا لا يشبه أي يوم آخر وتتسع القلوب لمسامحة ما كان والبدء بما سيكون نسأل الله أن يجعلها جمعة تتبدل فيها الأحوال للأفضل.,"May this blessed Friday fill your heart with peace, clarity, and renewal. May your prayers be answered and your path be surrounded with light and ease."
